ID mcount fcount Father_age Mother_age
99984 12 91 51 41
99872 11 52 38 33
99776 10 66 39 36
9975 9 47 27 28
99731 10 49 30 28
99703 11 43 23 16
99383 9 44 21 18
99379 8 38 24 21
99197 10 38 20 18
98860 10 47 30 29
98572 15 71 41 38
98306 11 45 24 22
98228 10 67 46 36
97789 13 39 26 25
97566 10 39 33 25
9737 20 69 36 35
96717 19 34 31 26
96520 11 42 26 26
96471 8 52 27 25
96106 9 33 26 28
94946 14 51 22 20
94281 11 50 30 27
94024 11 43 25 21
93758 12 42 25 22
93229 12 45 22 19
93086 4 43 28 20
93058 13 57 29 26
92812 18 80 54 43
92501 14 49 27 26
92192 14 68 38 39
91671 12 49 28 28
9165 10 52 34 32
91606 9 37 20 19
91585 12 43 24 23
91410 10 111 51 34
91258 23 64 29 31
91198 6 55 28 24
90450 14 55 40 30
89833 17 65 51 39
88246 25 87 56 46
87422 14 61 34 28
87089 21 64 40 38
86868 7 43 27 29
86863 21 61 22 26
86822 5 53 25 27
86349 8 59 34 32
85432 14 57 33 29
85117 14 62 41 35
84749 19 61 29 30
84737 18 58 39 36
84490 14 47 23 21
84228 20 51 34 33
83989 20 41 26 26
83632 12 49 25 24
83353 15 34 26 24
83335 9 51 44 34
83256 12 30 19 18
83165 13 66 37 32
83148 17 76 41 38
82362 12 49 28 30
8185 10 66 37 31
8147 27 78 40 33
81371 11 55 32 28
80905 14 75 46 44
80577 13 50 27 22
80405 12 52 31 31
80108 7 44 22 24
79866 8 57 32 29
79709 6 72 43 33
79155 10 46 30 23
78675 9 47 22 17
78500 10 54 30 21
78192 16 69 33 28
77835 11 50 37 27
76504 5 27 19 17
76323 13 77 44 38
76145 11 44 27 26
74349 12 53 33 27
74320 19 70 44 41
72669 11 45 34 27
72365 9 58 30 21
71851 13 54 34 32
71735 7 52 36 28
71609 10 52 30 20
70975 21 61 32 26
70509 16 44 33 33
70264 6 38 24 19
7017 11 65 46 28
6865 13 55 22 18
675 19 51 31 36
67245 11 29 25 23
67028 7 31 23 25
66987 14 62 40 33
66084 12 48 31 28
65385 12 57 33 20
65142 16 67 35 33
64744 9 47 27 27
64417 5 35 24 22
64325 24 65 32 34
64166 16 88 41 40
63768 14 60 41 38
62905 11 38 27 27
62630 5 28 23 20
62377 16 40 29 30
62121 20 79 51 42
61747 14 38 20 29
61600 16 49 35 33
6160 7 59 32 23
60643 13 60 36 28
60473 14 59 36 34
59721 11 29 18 18
59446 9 52 28 26
59395 8 44 22 20
59382 12 38 23 30
59380 14 58 28 24
59148 14 30 23 21
58242 17 55 31 36
57832 12 56 34 35
57717 19 66 32 33
57278 22 72 46 44
57204 9 45 30 33
56354 15 46 32 25
55513 18 49 36 33
55462 18 82 45 35
55279 11 44 23 24
5512 9 41 30 22
54944 12 46 25 21
5494 9 53 27 25
54593 10 67 40 37
54383 10 62 39 32
5410 16 52 27 18
53186 10 81 48 32
52666 12 34 19 19
52549 14 42 30 24
51962 14 40 26 21
